batter_position,start_state,end_state,count
1,14,10,1
9,15,15,8683
9,5,1,6
11,9,8,3
8,1,0,9
1,11,10,7
1,20,20,6674
9,14,12,132
7,22,24,17
10,11,13,117
2,19,19,35113
3,14,8,7
3,15,11,2
9,11,8,3
1,15,24,4
1,19,17,3
3,4,0,72
6,12,8,154
5,4,8,9
10,19,24,63
6,3,16,2
3,21,22,961
10,10,12,620
11,15,14,105
6,21,21,14147
5,11,9,6
8,9,10,5767
10,19,22,354
9,21,21,16131
6,10,10,30535
8,13,9,15
1,3,2,3
9,20,16,323
2,7,6,55
8,13,10,190
1,13,9,6
8,3,4,7
2,15,12,6
4,3,10,82
2,19,18,17
4,13,9,13
